period,count
1998-06-24 00:00:00,22200
1998-06-24 00:01:00,22592
1998-06-24 00:02:00,22855
1998-06-24 00:03:00,23106
1998-06-24 00:04:00,23672
1998-06-24 00:05:00,23763
1998-06-24 00:06:00,24703
1998-06-24 00:07:00,24547
1998-06-24 00:08:00,24632
1998-06-24 00:09:00,24984
1998-06-24 00:10:00,24786
1998-06-24 00:11:00,23082
1998-06-24 00:12:00,23721
1998-06-24 00:13:00,22680
1998-06-24 00:14:00,23938
1998-06-24 00:15:00,23458
1998-06-24 00:16:00,23082
1998-06-24 00:17:00,22996
1998-06-24 00:18:00,23440
1998-06-24 00:19:00,22792
1998-06-24 00:20:00,22705
1998-06-24 00:21:00,23295
1998-06-24 00:22:00,23705
1998-06-24 00:23:00,23547
1998-06-24 00:24:00,23952
1998-06-24 00:25:00,25639
1998-06-24 00:26:00,25035
1998-06-24 00:27:00,23758
1998-06-24 00:28:00,22987
1998-06-24 00:29:00,24436
1998-06-24 00:30:00,25069
1998-06-24 00:31:00,23575
1998-06-24 00:32:00,23061
1998-06-24 00:33:00,24107
1998-06-24 00:34:00,22835
1998-06-24 00:35:00,23562
1998-06-24 00:36:00,23522
1998-06-24 00:37:00,24499
1998-06-24 00:38:00,24405
1998-06-24 00:39:00,24096
1998-06-24 00:40:00,22130
1998-06-24 00:41:00,23500
1998-06-24 00:42:00,23682
1998-06-24 00:43:00,23280
1998-06-24 00:44:00,23043
1998-06-24 00:45:00,23326
1998-06-24 00:46:00,23024
1998-06-24 00:47:00,23031
1998-06-24 00:48:00,24801
1998-06-24 00:49:00,25000
1998-06-24 00:50:00,23175
1998-06-24 00:51:00,21766
1998-06-24 00:52:00,21459
1998-06-24 00:53:00,22297
1998-06-24 00:54:00,22911
1998-06-24 00:55:00,22257
1998-06-24 00:56:00,22866
1998-06-24 00:57:00,23804
1998-06-24 00:58:00,23207
1998-06-24 00:59:00,21544
1998-06-24 01:00:00,21429
1998-06-24 01:01:00,21490
1998-06-24 01:02:00,21438
1998-06-24 01:03:00,21746
1998-06-24 01:04:00,22539
1998-06-24 01:05:00,21827
1998-06-24 01:06:00,22439
1998-06-24 01:07:00,22117
1998-06-24 01:08:00,21350
1998-06-24 01:09:00,21614
1998-06-24 01:10:00,22271
1998-06-24 01:11:00,21669
1998-06-24 01:12:00,20446
1998-06-24 01:13:00,22220
1998-06-24 01:14:00,20707
1998-06-24 01:15:00,20707
1998-06-24 01:16:00,21213
1998-06-24 01:17:00,20496
1998-06-24 01:18:00,20366
1998-06-24 01:19:00,21073
1998-06-24 01:20:00,21525
1998-06-24 01:21:00,21258
1998-06-24 01:22:00,20452
1998-06-24 01:23:00,19713
1998-06-24 01:24:00,19738
1998-06-24 01:25:00,19984
1998-06-24 01:26:00,20358
1998-06-24 01:27:00,20198
1998-06-24 01:28:00,20172
1998-06-24 01:29:00,20447
1998-06-24 01:30:00,21071
1998-06-24 01:31:00,19954
1998-06-24 01:32:00,18842
1998-06-24 01:33:00,19018
1998-06-24 01:34:00,18943
1998-06-24 01:35:00,19476
1998-06-24 01:36:00,18202
1998-06-24 01:37:00,19414
1998-06-24 01:38:00,20465
1998-06-24 01:39:00,21268
1998-06-24 01:40:00,19451
1998-06-24 01:41:00,18981
1998-06-24 01:42:00,18962
1998-06-24 01:43:00,18660
1998-06-24 01:44:00,19804
1998-06-24 01:45:00,19248
1998-06-24 01:46:00,19646
1998-06-24 01:47:00,18845
1998-06-24 01:48:00,18155
1998-06-24 01:49:00,18245
1998-06-24 01:50:00,18459
1998-06-24 01:51:00,18297
1998-06-24 01:52:00,18479
1998-06-24 01:53:00,19530
1998-06-24 01:54:00,18941
1998-06-24 01:55:00,18493
1998-06-24 01:56:00,18592
1998-06-24 01:57:00,18842
1998-06-24 01:58:00,17442
1998-06-24 01:59:00,17626
1998-06-24 02:00:00,18467
1998-06-24 02:01:00,17690
1998-06-24 02:02:00,17909
1998-06-24 02:03:00,18190
1998-06-24 02:04:00,18493
1998-06-24 02:05:00,18159
1998-06-24 02:06:00,19185
1998-06-24 02:07:00,17674
1998-06-24 02:08:00,19008
1998-06-24 02:09:00,18306
1998-06-24 02:10:00,19175
1998-06-24 02:11:00,19022
1998-06-24 02:12:00,20649
1998-06-24 02:13:00,19023
1998-06-24 02:14:00,17786
1998-06-24 02:15:00,18683
1998-06-24 02:16:00,17688
1998-06-24 02:17:00,18151
1998-06-24 02:18:00,18797
1998-06-24 02:19:00,17812
1998-06-24 02:20:00,17145
1998-06-24 02:21:00,16694
1998-06-24 02:22:00,17099
1998-06-24 02:23:00,17901
1998-06-24 02:24:00,17756
1998-06-24 02:25:00,17694
1998-06-24 02:26:00,17222
1998-06-24 02:27:00,17454
1998-06-24 02:28:00,17762
1998-06-24 02:29:00,18281
1998-06-24 02:30:00,18455
1998-06-24 02:31:00,18833
1998-06-24 02:32:00,18456
1998-06-24 02:33:00,17949
1998-06-24 02:34:00,17895
1998-06-24 02:35:00,17432
1998-06-24 02:36:00,17195
1998-06-24 02:37:00,17650
1998-06-24 02:38:00,18288
1998-06-24 02:39:00,17852
1998-06-24 02:40:00,17396
1998-06-24 02:41:00,17904
1998-06-24 02:42:00,18115
1998-06-24 02:43:00,18494
1998-06-24 02:44:00,18660
1998-06-24 02:45:00,17668
1998-06-24 02:46:00,17834
1998-06-24 02:47:00,18285
1998-06-24 02:48:00,17047
1998-06-24 02:49:00,16203
1998-06-24 02:50:00,16271
1998-06-24 02:51:00,18776
1998-06-24 02:52:00,17339
1998-06-24 02:53:00,16952
1998-06-24 02:54:00,17117
1998-06-24 02:55:00,16686
1998-06-24 02:56:00,15868
1998-06-24 02:57:00,16960
1998-06-24 02:58:00,17019
1998-06-24 02:59:00,17468
1998-06-24 03:00:00,16415
1998-06-24 03:01:00,17058
1998-06-24 03:02:00,16808
1998-06-24 03:03:00,17897
1998-06-24 03:04:00,18722
1998-06-24 03:05:00,18649
1998-06-24 03:06:00,17862
1998-06-24 03:07:00,17681
1998-06-24 03:08:00,16473
1998-06-24 03:09:00,17057
1998-06-24 03:10:00,17176
1998-06-24 03:11:00,17270
1998-06-24 03:12:00,16954
1998-06-24 03:13:00,17344
1998-06-24 03:14:00,16913
1998-06-24 03:15:00,18214
1998-06-24 03:16:00,16974
1998-06-24 03:17:00,16813
1998-06-24 03:18:00,16548
1998-06-24 03:19:00,16546
1998-06-24 03:20:00,15862
1998-06-24 03:21:00,16564
1998-06-24 03:22:00,15895
1998-06-24 03:23:00,16264
1998-06-24 03:24:00,16446
1998-06-24 03:25:00,17634
1998-06-24 03:26:00,17434
1998-06-24 03:27:00,16713
1998-06-24 03:28:00,16517
1998-06-24 03:29:00,17735
1998-06-24 03:30:00,17445
1998-06-24 03:31:00,16123
1998-06-24 03:32:00,16160
1998-06-24 03:33:00,15786
1998-06-24 03:34:00,16270
1998-06-24 03:35:00,15926
1998-06-24 03:36:00,15582
1998-06-24 03:37:00,16830
1998-06-24 03:38:00,16821
1998-06-24 03:39:00,17523
1998-06-24 03:40:00,17297
1998-06-24 03:41:00,18315
1998-06-24 03:42:00,17468
1998-06-24 03:43:00,17668
1998-06-24 03:44:00,16907
1998-06-24 03:45:00,16543
1998-06-24 03:46:00,16440
1998-06-24 03:47:00,17491
1998-06-24 03:48:00,18131
1998-06-24 03:49:00,17478
1998-06-24 03:50:00,17052
1998-06-24 03:51:00,17314
1998-06-24 03:52:00,16950
1998-06-24 03:53:00,16355
1998-06-24 03:54:00,17410
1998-06-24 03:55:00,17736
1998-06-24 03:56:00,17546
1998-06-24 03:57:00,16027
1998-06-24 03:58:00,17338
1998-06-24 03:59:00,16841
1998-06-24 04:00:00,17879
1998-06-24 04:01:00,17435
1998-06-24 04:02:00,16568
1998-06-24 04:03:00,16661
1998-06-24 04:04:00,16453
1998-06-24 04:05:00,16257
1998-06-24 04:06:00,16033
1998-06-24 04:07:00,16213
1998-06-24 04:08:00,16174
1998-06-24 04:09:00,15729
1998-06-24 04:10:00,15601
1998-06-24 04:11:00,16409
1998-06-24 04:12:00,15339
1998-06-24 04:13:00,16071
1998-06-24 04:14:00,15726
1998-06-24 04:15:00,15219
1998-06-24 04:16:00,14989
1998-06-24 04:17:00,15101
1998-06-24 04:18:00,15323
1998-06-24 04:19:00,14983
1998-06-24 04:20:00,15130
1998-06-24 04:21:00,15631
1998-06-24 04:22:00,15625
1998-06-24 04:23:00,15592
1998-06-24 04:24:00,14930
1998-06-24 04:25:00,15659
1998-06-24 04:26:00,15578
1998-06-24 04:27:00,14790
1998-06-24 04:28:00,15095
1998-06-24 04:29:00,14771
1998-06-24 04:30:00,14989
1998-06-24 04:31:00,14990
1998-06-24 04:32:00,16499
1998-06-24 04:33:00,16443
1998-06-24 04:34:00,15121
1998-06-24 04:35:00,15099
1998-06-24 04:36:00,15758
1998-06-24 04:37:00,15699
1998-06-24 04:38:00,14858
1998-06-24 04:39:00,14937
1998-06-24 04:40:00,14851
1998-06-24 04:41:00,14923
1998-06-24 04:42:00,15207
1998-06-24 04:43:00,13876
1998-06-24 04:44:00,13384
1998-06-24 04:45:00,13818
1998-06-24 04:46:00,14039
1998-06-24 04:47:00,14511
1998-06-24 04:48:00,14362
1998-06-24 04:49:00,13562
1998-06-24 04:50:00,13612
1998-06-24 04:51:00,13894
1998-06-24 04:52:00,13714
1998-06-24 04:53:00,12975
1998-06-24 04:54:00,13464
1998-06-24 04:55:00,13772
1998-06-24 04:56:00,14801
1998-06-24 04:57:00,14582
1998-06-24 04:58:00,13785
1998-06-24 04:59:00,13950
1998-06-24 05:00:00,14275
1998-06-24 05:01:00,14354
1998-06-24 05:02:00,14746
1998-06-24 05:03:00,14572
1998-06-24 05:04:00,14447
1998-06-24 05:05:00,15717
1998-06-24 05:06:00,15283
1998-06-24 05:07:00,15639
1998-06-24 05:08:00,15071
1998-06-24 05:09:00,16098
1998-06-24 05:10:00,14900
1998-06-24 05:11:00,14732
1998-06-24 05:12:00,14894
1998-06-24 05:13:00,14506
1998-06-24 05:14:00,15336
1998-06-24 05:15:00,15248
1998-06-24 05:16:00,15580
1998-06-24 05:17:00,14999
1998-06-24 05:18:00,14608
1998-06-24 05:19:00,15340
1998-06-24 05:20:00,14221
1998-06-24 05:21:00,14989
1998-06-24 05:22:00,16062
1998-06-24 05:23:00,15475
1998-06-24 05:24:00,14782
1998-06-24 05:25:00,16128
1998-06-24 05:26:00,16630
1998-06-24 05:27:00,16320
1998-06-24 05:28:00,16390
1998-06-24 05:29:00,16225
1998-06-24 05:30:00,16685
1998-06-24 05:31:00,15087
1998-06-24 05:32:00,16347
1998-06-24 05:33:00,16233
1998-06-24 05:34:00,16400
1998-06-24 05:35:00,17480
1998-06-24 05:36:00,17093
1998-06-24 05:37:00,17872
1998-06-24 05:38:00,17568
1998-06-24 05:39:00,16721
1998-06-24 05:40:00,17068
1998-06-24 05:41:00,17013
1998-06-24 05:42:00,16504
1998-06-24 05:43:00,15887
1998-06-24 05:44:00,16323
1998-06-24 05:45:00,16054
1998-06-24 05:46:00,16645
1998-06-24 05:47:00,17373
1998-06-24 05:48:00,17281
1998-06-24 05:49:00,16361
1998-06-24 05:50:00,16659
1998-06-24 05:51:00,17388
1998-06-24 05:52:00,17381
1998-06-24 05:53:00,18072
1998-06-24 05:54:00,16266
1998-06-24 05:55:00,18460
1998-06-24 05:56:00,18391
1998-06-24 05:57:00,17533
1998-06-24 05:58:00,18354
1998-06-24 05:59:00,18005
1998-06-24 06:00:00,18573
1998-06-24 06:01:00,18704
1998-06-24 06:02:00,17973
1998-06-24 06:03:00,18347
1998-06-24 06:04:00,18865
1998-06-24 06:05:00,17946
1998-06-24 06:06:00,17885
1998-06-24 06:07:00,18113
1998-06-24 06:08:00,18904
1998-06-24 06:09:00,18828
1998-06-24 06:10:00,18462
1998-06-24 06:11:00,18820
1998-06-24 06:12:00,17412
1998-06-24 06:13:00,17428
1998-06-24 06:14:00,17724
1998-06-24 06:15:00,18233
1998-06-24 06:16:00,19042
1998-06-24 06:17:00,19492
1998-06-24 06:18:00,19261
1998-06-24 06:19:00,18949
1998-06-24 06:20:00,18124
1998-06-24 06:21:00,18905
1998-06-24 06:22:00,19216
1998-06-24 06:23:00,18175
1998-06-24 06:24:00,18774
1998-06-24 06:25:00,18550
1998-06-24 06:26:00,19791
1998-06-24 06:27:00,19056
1998-06-24 06:28:00,16876
1998-06-24 06:29:00,18770
1998-06-24 06:30:00,19210
1998-06-24 06:31:00,18344
1998-06-24 06:32:00,18908
1998-06-24 06:33:00,18928
1998-06-24 06:34:00,18770
1998-06-24 06:35:00,20302
1998-06-24 06:36:00,19295
1998-06-24 06:37:00,18951
1998-06-24 06:38:00,19037
1998-06-24 06:39:00,18932
1998-06-24 06:40:00,19885
1998-06-24 06:41:00,19998
1998-06-24 06:42:00,19623
1998-06-24 06:43:00,18469
1998-06-24 06:44:00,20025
1998-06-24 06:45:00,20020
1998-06-24 06:46:00,20201
1998-06-24 06:47:00,20361
1998-06-24 06:48:00,19928
1998-06-24 06:49:00,20044
1998-06-24 06:50:00,20482
1998-06-24 06:51:00,20324
1998-06-24 06:52:00,20726
1998-06-24 06:53:00,19851
1998-06-24 06:54:00,19562
1998-06-24 06:55:00,19590
1998-06-24 06:56:00,18553
1998-06-24 06:57:00,18370
1998-06-24 06:58:00,19637
1998-06-24 06:59:00,19298
1998-06-24 07:00:00,20067
1998-06-24 07:01:00,19637
1998-06-24 07:02:00,18853
1998-06-24 07:03:00,20256
1998-06-24 07:04:00,19206
1998-06-24 07:05:00,19662
1998-06-24 07:06:00,19839
1998-06-24 07:07:00,19777
1998-06-24 07:08:00,19619
1998-06-24 07:09:00,18762
1998-06-24 07:10:00,18538
1998-06-24 07:11:00,19615
1998-06-24 07:12:00,18650
1998-06-24 07:13:00,20437
1998-06-24 07:14:00,20415
1998-06-24 07:15:00,21100
1998-06-24 07:16:00,21438
1998-06-24 07:17:00,20131
1998-06-24 07:18:00,20208
1998-06-24 07:19:00,20632
1998-06-24 07:20:00,20879
1998-06-24 07:21:00,19807
1998-06-24 07:22:00,18637
1998-06-24 07:23:00,18349
1998-06-24 07:24:00,19716
1998-06-24 07:25:00,18983
1998-06-24 07:26:00,19139
1998-06-24 07:27:00,19192
1998-06-24 07:28:00,19474
1998-06-24 07:29:00,19766
1998-06-24 07:30:00,19932
1998-06-24 07:31:00,20573
1998-06-24 07:32:00,20654
1998-06-24 07:33:00,19754
1998-06-24 07:34:00,19844
1998-06-24 07:35:00,20513
1998-06-24 07:36:00,21844
1998-06-24 07:37:00,20829
1998-06-24 07:38:00,18843
1998-06-24 07:39:00,19643
1998-06-24 07:40:00,20142
1998-06-24 07:41:00,18497
1998-06-24 07:42:00,20228
1998-06-24 07:43:00,20558
1998-06-24 07:44:00,19997
1998-06-24 07:45:00,18775
1998-06-24 07:46:00,20320
1998-06-24 07:47:00,19818
1998-06-24 07:48:00,21049
1998-06-24 07:49:00,20653
1998-06-24 07:50:00,19956
1998-06-24 07:51:00,19131
1998-06-24 07:52:00,20398
1998-06-24 07:53:00,20003
1998-06-24 07:54:00,19985
1998-06-24 07:55:00,19291
1998-06-24 07:56:00,19060
1998-06-24 07:57:00,17980
1998-06-24 07:58:00,20232
1998-06-24 07:59:00,20849
1998-06-24 08:00:00,21148
1998-06-24 08:01:00,19916
1998-06-24 08:02:00,19896
1998-06-24 08:03:00,19548
1998-06-24 08:04:00,19081
1998-06-24 08:05:00,19534
1998-06-24 08:06:00,19296
1998-06-24 08:07:00,18718
1998-06-24 08:08:00,18837
1998-06-24 08:09:00,18218
1998-06-24 08:10:00,18902
1998-06-24 08:11:00,18057
1998-06-24 08:12:00,19258
1998-06-24 08:13:00,19916
1998-06-24 08:14:00,19549
1998-06-24 08:15:00,19571
1998-06-24 08:16:00,19753
1998-06-24 08:17:00,19446
1998-06-24 08:18:00,20483
1998-06-24 08:19:00,19782
1998-06-24 08:20:00,19209
1998-06-24 08:21:00,18660
1998-06-24 08:22:00,18212
1998-06-24 08:23:00,18088
1998-06-24 08:24:00,18283
1998-06-24 08:25:00,18542
1998-06-24 08:26:00,19408
1998-06-24 08:27:00,19936
1998-06-24 08:28:00,19036
1998-06-24 08:29:00,19430
1998-06-24 08:30:00,20240
1998-06-24 08:31:00,19420
1998-06-24 08:32:00,18312
1998-06-24 08:33:00,18193
1998-06-24 08:34:00,19255
1998-06-24 08:35:00,19006
1998-06-24 08:36:00,19430
1998-06-24 08:37:00,18369
1998-06-24 08:38:00,18969
1998-06-24 08:39:00,18814
1998-06-24 08:40:00,18804
1998-06-24 08:41:00,19174
1998-06-24 08:42:00,18045
1998-06-24 08:43:00,18907
1998-06-24 08:44:00,18961
1998-06-24 08:45:00,20549
1998-06-24 08:46:00,20875
1998-06-24 08:47:00,20622
1998-06-24 08:48:00,19855
1998-06-24 08:49:00,18856
1998-06-24 08:50:00,18963
1998-06-24 08:51:00,18634
1998-06-24 08:52:00,17293
1998-06-24 08:53:00,17824
1998-06-24 08:54:00,18670
1998-06-24 08:55:00,19169
1998-06-24 08:56:00,17792
1998-06-24 08:57:00,17256
1998-06-24 08:58:00,17963
1998-06-24 08:59:00,18285
1998-06-24 09:00:00,18380
1998-06-24 09:01:00,19958
